"Timestamp","Which category below includes your age? ","What gender do you identify as ?","Which of the following ethnic groups do you consider you belong to","Do you have any long-standing illness, disability or infirmity (Long-standing means anything that has troubled you over a period of time or that is likely to affect you over a period of time)","Whilst studying do you live at home or on campus ?","In which region of the United Kingdom is your home located","In which region of the United Kingdom is your university campus located ?","What impact has Covid-19 had on your sleeping pattern  ?","If you suffer from anxiety, which of the following concerns have contributed to this condition ? ","Have you started / increased the use of any of the following as a result of Covid-19? (tick all that apply)","How do you feel your mental state has changed since the Covid-19 Outbreak?","In general, how have you been feeling since your university term begun? ","How would you describe your current physical health ?","Before the Covid-19 pandemic, on average, how many times per week would you take part in physical activity (30 minutes or more)?","On average, how many times per week do you take part in physical activity now (30 minutes of more) ?","Does your university have an on site gym?","If yes, has it been open during the Covid-19 Pandemic ?","If yes, How often do you use it?","What impact has the Covid 19 pandemic had on your diet ?","What impact has Covid-19 had on your overall physical well being ? ","Have you had to self isolate at any point during the Covid-19 pandemic ?","For which of the following reasons did you leave your home in the past week? Select all that apply","How much of an impact has the Covid-19 pandemic on your social interaction between friends, family and/or work colleagues ? ","During the Covid-19 pandemic, have you broken social distancing rules outlined by the government?","If yes, for what reason ?","What is your local Covid alert level?","How satisfied are you with the Covid-19 restrictions currently in place?","Have you had to cancel/postpone any social events due the Covid-19 pandemic?","Does your University have written policies addressing the following issues? (please tick) [Health and safety]","Does your University have written policies addressing the following issues? (please tick) [Healthy eating]","Does your University have written policies addressing the following issues? (please tick) [Physical activity]","Does your University have written policies addressing the following issues? (please tick) [Work-life balance]","Does your University have written policies addressing the following issues? (please tick) [Drugs and alcohol]","Does your University have written policies addressing the following issues? (please tick) [Mental health]","Has your university offered any form of additional mental health support as a direct result of the Covid 19 Pandemic ?","If yes please specify how.","Has your university offered any form of additional financial  support as a direct result of the Covid 19 Pandemic ?","If yes please specify how.","My university is quick to respond to any issues I may have. (e.g timetables, project work, general concerns, health concerns)","My university has engaged well with its students with the use of remote working technologies during the Covid 19 Pandemic."
"2020/10/26 4:32:06 PM GMT","21-29","Female","Black / Black British","No","At home","12 Greater London","12 - Greater London","2","Covid-19;Educational;Work;Family and friends welfare","Comfort eating","1","1","2","1","1","Yes","No","I do not use the gym facilities","4","3","Yes","Shop for basic necessities;Travelling (uni and or work);Meeting up with people in a public space","1","No","","Tier 3 (High)","1","Yes","Yes","No","No","Yes","I do not know","Yes","Yes","Workshops and extra counseling ","No","","1","1"
"2020/10/26 4:34:02 PM GMT","21-29","Male","White","No","At home","10 - South East","12 - Greater London","2","I do not suffer from anxiety","None of these apply to me","3","2","4","1","1","Yes","No","","3","3","No","Shop for basic necessities;Travelling (uni and or work)","2","No","","Tier 1 (Low)","2","Yes","Yes","No","No","No","No","Yes","No","","Yes","","3","4"
"2020/10/26 4:34:29 PM GMT","21-29","Female","White","No","At home","12 Greater London","12 - Greater London","3","Covid-19;Financial;Educational;Work;Family and friends welfare","Comfort eating","2","2","3","3","6","Yes","No","","2","2","Yes","Shop for basic necessities;Travelling (uni and or work);Meeting up with people in a public space;For exercise","3","Yes","Funeral","Tier 2","3","Yes","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","Yes","","Yes","","3","4"
"2020/10/26 5:20:27 PM GMT","18-20","Male","Asian/ Asian British","No","At home","12 Greater London","12 - Greater London","2","I do not suffer from anxiety","None of these apply to me","3","3","3","2","1","Yes","No","I do not use the gym facilities","3","3","No","Shop for other things;For exercise","2","No","","Tier 2","3","No","Yes","I do not know","I do not know","I do not know","I do not know","Yes","No","","Yes","Hardship fund for people who may have been financially effected ","4","4"
"2020/10/26 5:22:17 PM GMT","30-39","Male","White","No","At home","10 - South East","12 - Greater London","2","Covid-19;Educational;Family and friends welfare","Drinking;Comfort eating","3","3","3","1","4","Yes","Yes","I do not use the gym facilities","2","3","No","Shop for basic necessities;Shop for other things;Travelling (uni and or work);Meeting up with people in a public space;Meeting up with people in a personal space;Medical purposes;Leisure activities;For exercise","2","No","","Tier 1 (Low)","4","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Mindfulness workshops, campus counselling","Yes","Bursaries ","2","4"
"2020/10/26 5:29:27 PM GMT","21-29","Female","Asian/ Asian British","No","At home","12 Greater London","12 - Greater London","3","Covid-19;Educational;Family and friends welfare","None of these apply to me","2","1","4","3","2","Yes","No","","3","3","No","Shop for basic necessities;Meeting up with people in a personal space;Leisure activities","2","No","","Tier 3 (High)","2","Yes","Yes","I do not know","Yes","Yes","Yes","Yes","No","","Yes","","1","3"
"2020/10/26 5:30:36 PM GMT","18-20","Male","Other","No","At home","12 Greater London","12 - Greater London","2","I do not suffer from anxiety","None of these apply to me","2","3","4","2","1","Yes","Yes","I do not use the gym facilities","2","3","No","Shop for basic necessities;Shop for other things;Meeting up with people in a public space","4","No","","Tier 2","2","Yes","Yes","I do not know","I do not know","Yes","Yes","Yes","Yes","Counselling","No","","3","4"
"2020/10/27 12:44:51 AM GMT","21-29","Male","Asian/ Asian British","No","At home","12 Greater London","12 - Greater London","3","Covid-19;Financial;Educational;Work;Family and friends welfare;Living on your own or away from home;Personal;Social","Drinking;Comfort eating","2","2","2","7+","1","Yes","No","I do not use the gym facilities","2","2","Yes","Shop for basic necessities;Shop for other things;Travelling (uni and or work);Medical purposes;For exercise","2","Yes","To meet family","I do not know what alert level my region is in.","2","Yes","Yes","Yes","I do not know","No","I do not know","Yes","Yes","Counsellor","No","","2","3"
"2020/10/27 3:19:06 PM GMT","21-29","Male","White","No","At home","11 - East of England","12 - Greater London","4","Social","None of these apply to me","4","3","4","4","4","No","No","I do not use the gym facilities","3","3","No","Shop for basic necessities;Shop for other things;Travelling (uni and or work);Meeting up with people in a public space;Leisure activities;For exercise","2","No","","I do not know what alert level my region is in.","1","Yes","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","No","","No","","3","2"
"2020/10/27 7:17:13 PM GMT","18-20","Female","White","Yes","At home","12 Greater London","12 - Greater London","3","Covid-19;Financial;Educational;Work;Family and friends welfare;Personal;Social","Comfort eating","2","2","2","4","1","No","","","3","1","Yes","I did not leave the house this week","1","No","","I do not know what alert level my region is in.","2","Yes","I do not know","I do not know","I do not know","I do not know","I do not know","I do not know","No","","Yes","https://www.gold.ac.uk/students/financial-support/covid-bursary/","2","3"
